city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
161,provideniya,90,RU,1595296050,81,64.38,-173.3,50.0,11.18
162,cabo san lucas,5,MX,1595295815,37,22.89,-109.91,95.0,11.41
163,trinidad,0,BO,1595296133,63,-14.83,-64.9,76.41,1.7
164,corrente,87,BR,1595296227,68,-3.74,-43.34,76.5,2.73
165,senneterre,90,CA,1595296227,77,48.38,-77.23,60.8,3.36
166,vila velha,40,BR,1595296062,94,-20.33,-40.29,68.0,3.47
167,praxedis guerrero,90,MX,1595296227,39,31.37,-106.02,82.4,17.22
168,akureyri,69,IS,1595296228,93,65.68,-18.09,42.8,3.36
169,tumen,0,CN,1595296228,42,42.97,129.84,84.13,5.99
170,hami,100,CN,1595296138,22,42.8,93.45,89.37,3.02
171,college,75,US,1595296069,49,64.86,-147.8,73.0,5.82
172,chyhyryn,31,UA,1595296228,76,49.08,32.66,64.08,7.38
173,burgeo,42,CA,1595296229,90,47.62,-57.62,60.33,6.11
174,port lincoln,85,AU,1595296045,70,-34.73,135.87,54.63,6.69
175,san-pedro,93,CI,1595296229,94,4.75,-6.64,74.71,5.59
176,pakenham,89,AU,1595296182,97,-38.07,145.48,50.0,1.99
177,sangmelima,100,CM,1595296230,100,2.93,11.98,66.34,2.42
178,kavaratti,99,IN,1595296066,81,10.57,72.64,82.65,20.54
179,yeniseysk,83,RU,1595296230,85,58.45,92.17,60.93,6.4
180,kathu,20,TH,1595296230,83,7.92,98.33,86.0,2.24
181,chicama,13,PE,1595296063,85,-7.84,-79.15,60.69,4.83
182,arraial do cabo,0,BR,1595295812,85,-22.97,-42.03,70.61,18.63
183,kerman,0,IR,1595296231,19,30.28,57.08,75.2,6.93
184,tyrma,18,RU,1595296231,45,50.08,132.17,80.04,3.09
185,mahebourg,75,MU,1595296037,77,-20.41,57.7,66.2,11.41
186,vanimo,13,PG,1595296232,60,-2.67,141.3,87.12,8.01
187,hovd,100,MN,1595296144,37,48.01,91.64,74.68,0.74
188,pottstown,1,US,1595296232,54,40.25,-75.65,82.0,3.87
189,sao felix do xingu,99,BR,1595296129,61,-6.64,-51.99,71.87,2.15
190,fortuna,40,US,1595296125,87,40.6,-124.16,61.0,11.41
191,katsuura,75,JP,1595296063,88,35.13,140.3,79.0,6.93
192,makakilo city,75,US,1595296116,48,21.35,-158.09,87.8,9.17
193,isangel,2,VU,1595295822,47,-19.55,169.27,78.8,9.17
194,padang,98,ID,1595296065,63,-0.95,100.35,84.76,2.48
195,kruisfontein,0,ZA,1595296119,93,-34.0,24.73,53.8,5.55
196,kahului,1,US,1595296043,46,20.89,-156.47,89.6,24.16
197,adra,14,ES,1595296234,54,36.75,-3.02,82.4,14.99
198,dikson,100,RU,1595296041,96,73.51,80.55,39.69,13.04
199,deori,100,IN,1595296235,69,21.45,82.62,83.23,8.37
200,mar del plata,90,AR,1595296117,100,-38.0,-57.56,50.0,23.04
201,saskylakh,100,RU,1595296046,45,71.92,114.08,59.36,10.54
202,iisalmi,99,FI,1595296236,100,63.56,27.19,60.8,3.36
203,yar-sale,100,RU,1595296160,74,66.83,70.83,57.4,5.95
204,las palmas,90,ES,1595296236,73,28.42,-14.01,73.4,19.46
205,gizo,35,SB,1595296236,81,-8.1,156.84,81.57,19.6
206,birnin kebbi,79,NG,1595296236,72,12.45,4.2,80.6,12.91
207,kodiak,1,US,1595296048,44,57.79,-152.41,75.2,10.29
208,luorong,100,CN,1595296237,76,24.41,109.61,84.42,9.35
209,tamandare,85,BR,1595296237,75,-8.76,-35.1,74.16,12.68
210,port hedland,0,AU,1595296209,27,-20.32,118.57,75.2,19.46
211,nouadhibou,51,MR,1595296237,83,20.93,-17.03,73.4,2.24
212,tateyama,75,JP,1595296238,88,34.98,139.87,80.01,6.93
213,dwarka,55,IN,1595296223,76,22.24,68.97,84.16,18.63
214,muncar,98,ID,1595296238,81,-8.43,114.33,79.79,6.67
215,upington,0,ZA,1595296238,37,-28.45,21.26,51.96,10.13
216,los llanos de aridane,40,ES,1595295944,78,28.66,-17.92,71.6,18.34
217,komsomolskiy,0,UZ,1595296061,31,40.43,71.72,78.8,4.7
218,porangatu,0,BR,1595296239,46,-13.44,-49.15,66.54,1.95
219,severo-kurilsk,44,RU,1595296098,78,50.68,156.12,54.28,1.88
220,north bend,90,US,1595296239,87,43.41,-124.22,72.0,16.11
221,newport,40,GB,1595296240,78,51.59,-3.0,55.99,6.78
222,turayf,0,SA,1595296240,39,31.67,38.66,84.2,13.87
223,chokurdakh,90,RU,1595296062,35,70.63,147.92,80.53,15.48
224,nola,0,IT,1595296240,69,40.92,14.53,73.4,2.24
225,karasburg,0,NA,1595296241,30,-28.02,18.75,57.27,11.83
226,sorland,100,NO,1595296141,77,67.67,12.69,53.4,7.05
227,finschhafen,16,PG,1595296241,72,-6.6,147.87,82.78,10.16
228,abu kamal,0,SY,1595296241,22,34.45,40.92,84.16,14.09
229,pasighat,100,IN,1595296241,89,28.07,95.33,75.81,4.38
230,kirkuk,0,IQ,1595296231,15,35.47,44.39,81.97,5.44
231,altay,100,CN,1595296242,54,47.87,88.12,69.73,4.92
232,jaipur,40,IN,1595296134,74,26.92,75.82,84.2,6.93
233,monywa,100,MM,1595296242,73,22.12,95.13,82.8,13.06
234,amapa,3,BR,1595296243,96,1.0,-52.0,70.48,1.59
235,fereydun kenar,0,IR,1595296139,78,36.69,52.52,71.6,6.93
236,chuy,95,UY,1595296048,88,-33.7,-53.46,65.53,7.99
237,liverpool,1,GB,1595296243,87,53.41,-2.98,55.0,5.82
238,hirara,40,JP,1595296239,70,24.8,125.28,87.8,6.93
239,yulara,75,AU,1595296076,76,-25.24,130.99,55.4,16.11
240,mitsamiouli,68,KM,1595296200,69,-11.38,43.28,76.12,12.62
241,quatre cocos,75,MU,1595296244,77,-20.21,57.76,70.0,11.41
242,zhangjiakou,70,CN,1595296245,50,40.81,114.88,80.65,6.62
243,saint-pierre,90,RE,1595296055,63,-21.34,55.48,64.4,5.82
244,mogzon,59,RU,1595296245,40,51.74,111.96,63.34,10.96
245,hofn,92,IS,1595296036,76,64.25,-15.21,52.48,1.01
246,rubiataba,0,BR,1595296245,41,-15.16,-49.8,64.02,3.27
247,zaria,82,NG,1595296246,90,11.11,7.72,69.62,7.61
248,chandur,100,IN,1595296246,78,19.73,79.18,81.88,7.23
249,aktas,8,KZ,1595296246,72,49.78,72.96,64.4,4.47
250,zheshart,0,RU,1595296246,78,62.07,49.57,56.41,7.02
251,tecoanapa,85,MX,1595296140,81,16.52,-98.75,81.57,6.15
252,hobyo,88,SO,1595295957,71,5.35,48.53,77.27,21.9
253,atambua,100,ID,1595296247,46,-9.11,124.89,81.45,1.3
254,poum,44,NC,1595296035,62,-20.23,164.02,71.29,12.84
255,sturgeon falls,90,CA,1595296248,82,46.36,-79.93,66.0,4.7
256,lompoc,5,US,1595296058,68,34.64,-120.46,66.2,16.11
257,grand gaube,89,MU,1595296167,55,-20.01,57.66,70.0,5.99
258,dingle,12,PH,1595296107,73,11.0,122.67,85.84,6.15
259,kysyl-syr,100,RU,1595296111,93,63.9,122.76,67.48,11.86
260,jalu,0,LY,1595296249,54,29.03,21.55,74.89,11.01
261,moundou,99,TD,1595296249,91,8.57,16.08,70.92,1.66
262,mazyr,0,BY,1595296249,84,52.05,29.25,60.19,3.91
263,bardiyah,0,LY,1595296250,88,31.76,25.09,72.61,13.98
264,terrace,90,CA,1595296079,100,54.52,-128.6,60.8,8.05
265,fairbanks,90,US,1595295933,68,64.84,-147.72,73.0,3.36
266,estepa,65,ES,1595296250,45,37.29,-4.88,87.8,4.7
267,kisanga,22,TZ,1595296058,83,-7.44,37.7,65.19,1.32
268,xiaoweizhai,100,CN,1595296099,86,26.19,107.51,73.47,12.01
269,hithadhoo,100,MV,1595296080,77,-0.6,73.08,84.06,12.59
270,constitucion,98,CL,1595295716,88,-35.33,-72.42,52.27,9.37
271,elliot,0,ZA,1595296251,41,-31.33,27.85,44.94,6.08
272,ust-koksa,99,RU,1595296252,69,50.27,85.61,66.42,1.28
273,bambous virieux,75,MU,1595296055,77,-20.34,57.76,70.0,11.41
274,pisco,1,PE,1595296049,82,-13.7,-76.22,60.8,9.17
275,mangrol,7,IN,1595296252,78,21.12,70.12,83.23,14.97
276,chiredzi,11,ZW,1595296253,91,-21.05,31.67,53.42,0.92
277,glenwood springs,1,US,1595296253,12,39.55,-107.32,93.2,6.93
278,lata,92,PT,1595296051,69,40.16,-8.33,66.99,2.71
279,nemuro,75,JP,1595296101,73,43.32,145.57,71.6,2.24
280,sinfra,86,CI,1595296254,95,6.62,-5.92,71.28,4.63
281,miramar,1,US,1595296254,83,25.99,-80.23,82.99,6.93
282,entre rios,22,BR,1595296254,98,-11.94,-38.08,67.1,2.91
283,yarada,40,IN,1595296254,88,17.65,83.27,80.6,3.36
284,lintangan,40,PH,1595296254,83,7.22,121.95,84.2,5.82
285,yakima,1,US,1595296255,19,46.47,-120.67,98.01,5.82
286,koungou,90,YT,1595296255,69,-12.73,45.2,75.2,18.34
287,shingu,75,JP,1595296143,83,33.73,135.98,82.4,4.7
288,pokrovsk,99,UA,1595296256,74,48.28,37.18,63.64,5.17
289,santa cruz de la palma,40,ES,1595296256,78,28.68,-17.76,71.6,18.34
290,coruripe,46,BR,1595296221,82,-10.13,-36.18,73.13,13.71
291,mount isa,88,AU,1595296125,20,-20.73,139.5,73.4,12.75
292,bitung,20,ID,1595296257,59,1.45,125.18,89.6,2.24
293,port keats,11,AU,1595296257,29,-14.25,129.55,82.47,9.37
294,savinka,100,RU,1595296257,58,50.08,47.1,69.84,5.64
295,vestmanna,31,FO,1595296257,100,62.16,-7.17,46.4,3.2
296,grajau,4,BR,1595296121,56,-5.82,-46.14,74.34,2.51
297,hay river,40,CA,1595296258,68,60.82,-115.8,69.8,11.41
298,nara,75,JP,1595296258,62,34.69,135.8,91.99,4.7
299,vardo,100,NO,1595296042,79,70.37,31.11,58.86,9.33
300,shimanovsk,0,RU,1595296258,41,52.0,127.7,73.2,12.71
301,pacific grove,75,US,1595296062,77,36.62,-121.92,62.6,10.29
302,svetlyy,20,RU,1595296259,87,54.67,20.13,57.2,6.71
303,egvekinot,2,RU,1595296259,52,66.32,-179.17,53.78,1.12
304,okhotsk,33,RU,1595296100,75,59.38,143.3,60.55,6.58
305,georgetown,20,MY,1595296037,88,5.41,100.34,84.2,4.7
306,paka,20,MY,1595296260,88,4.64,103.44,82.4,1.12
307,slave lake,1,CA,1595296260,53,55.28,-114.77,71.6,2.24
308,port blair,100,IN,1595296072,73,11.67,92.75,83.08,4.94
309,ust-kan,25,RU,1595296261,79,50.93,84.76,65.28,2.13
310,kungurtug,100,RU,1595296261,37,50.6,97.52,72.19,1.25
311,maniitsoq,100,GL,1595296261,89,65.42,-52.9,50.04,11.32
312,bima,5,ID,1595296261,47,-8.47,118.72,88.21,2.89
313,coihaique,90,CL,1595296107,86,-45.58,-72.07,32.0,4.7
314,arosa,20,CH,1595296262,100,46.78,9.68,66.0,1.12
315,barcelos,0,PT,1595296262,88,41.54,-8.62,73.0,3.78
316,esmeraldas,75,BR,1595296262,72,-19.76,-44.31,68.0,5.82
317,toamasina,43,MG,1595296262,84,-18.17,49.38,64.96,10.31
318,henties bay,0,NA,1595296067,52,-22.12,14.28,64.0,3.0
319,honningsvag,100,NO,1595296263,91,70.98,25.97,54.16,6.24
320,sembe,100,CG,1595296263,92,1.65,14.58,69.66,2.51
321,aksehir,0,TR,1595295983,67,38.36,31.42,64.74,5.21
322,chegdomyn,19,RU,1595296264,49,51.12,133.02,77.27,4.65
323,bonthe,100,SL,1595296264,94,7.53,-12.51,74.82,8.84
324,bathsheba,40,BB,1595296060,69,13.22,-59.52,82.4,18.34
325,bengkulu,74,ID,1595295974,73,-3.8,102.27,81.95,3.24
326,tura,100,IN,1595296258,99,25.52,90.22,74.5,5.46
327,marshfield,1,US,1595296265,60,44.67,-90.17,72.0,3.36
328,marzuq,100,YE,1595296265,64,14.4,46.47,74.79,4.05
329,hvolsvollur,0,IS,1595296265,93,63.75,-20.22,39.99,1.39
330,batticaloa,100,LK,1595296265,75,7.71,81.69,81.21,2.01
331,norman wells,90,CA,1595295878,82,65.28,-126.83,62.6,10.29
332,codrington,34,AU,1595296047,70,-38.27,141.97,55.22,9.84
333,panzhihua,95,CN,1595296266,86,26.59,101.71,69.01,1.57
334,fort-shevchenko,34,KZ,1595296267,47,44.51,50.26,83.26,4.25
335,goderich,16,CA,1595295925,84,43.75,-81.72,69.01,10.0
336,aldan,32,RU,1595296267,47,58.6,125.39,70.79,15.39
337,saint-leu,90,RE,1595296268,63,-21.15,55.28,64.4,5.82
338,ahipara,11,NZ,1595296052,82,-35.17,173.17,59.52,14.45
339,vao,85,NC,1595296147,64,-22.67,167.48,68.74,11.92
340,yenagoa,100,NG,1595296268,94,4.92,6.26,74.52,4.52
341,panalingaan,51,PH,1595296269,60,8.78,117.42,87.82,1.74
342,gigmoto,100,PH,1595296269,76,13.78,124.39,85.6,5.99
343,petropavlovka,0,RU,1595296269,55,50.61,105.32,69.19,1.86
344,maarianhamina,99,AX,1595296265,82,60.1,19.93,62.6,3.36
345,nishihara,75,JP,1595296057,74,26.18,127.76,89.01,5.82
346,wajid,69,SO,1595296270,76,3.81,43.25,71.37,19.62
347,kirakira,1,SB,1595296270,64,-10.45,161.92,82.44,9.22
348,caravelas,0,BR,1595296066,88,-17.71,-39.25,69.91,6.76
349,pueblo nuevo,100,MX,1595296270,100,23.38,-105.38,60.33,0.63
350,bowen,97,AU,1595296271,49,-20.02,148.23,73.99,12.75
351,mus,0,TR,1595296271,28,39.0,41.75,63.93,1.57
352,sinnamary,99,GF,1595296271,84,5.38,-52.95,78.19,8.63
353,saint anthony,20,US,1595296129,60,45.02,-93.22,78.01,5.82
354,harper,44,LR,1595296271,89,4.38,-7.72,75.76,8.66
355,gushikawa,75,JP,1595296272,70,26.35,127.87,89.01,3.36
356,alofi,63,NU,1595296126,82,-19.06,-169.92,79.02,8.21
357,swellendam,0,ZA,1595296121,93,-34.02,20.44,57.2,1.12
358,san andres,75,CO,1595295973,79,12.58,-81.7,84.2,5.82
359,cedar city,1,US,1595296273,14,37.68,-113.06,87.8,5.82
360,belyy yar,2,RU,1595296121,68,53.6,91.39,66.2,6.71
361,la sarre,99,CA,1595296273,78,48.8,-79.2,56.8,3.0
362,kangaatsiaq,100,GL,1595296273,84,68.31,-53.46,45.39,0.94
363,cayenne,76,GF,1595295948,100,4.93,-52.33,75.2,8.86
364,alexandria,20,EG,1595296124,78,31.22,29.96,77.0,6.93
365,nurlat,11,RU,1595296274,92,54.43,50.81,59.47,3.74
366,susurluk,0,TR,1595296274,82,39.91,28.16,71.6,2.51
367,edd,100,ER,1595296274,56,13.93,41.69,90.34,2.19
368,savannah bight,5,HN,1595296135,73,16.45,-85.85,84.11,12.59
369,puerto baquerizo moreno,100,EC,1595296043,83,-0.9,-89.6,68.43,15.19
370,thinadhoo,97,MV,1595296275,76,0.53,72.93,84.06,15.43
371,guerrero negro,0,MX,1595296048,56,27.98,-114.06,74.62,14.16
372,russell,20,US,1595296276,74,32.35,-85.2,80.6,8.05
373,nyurba,100,RU,1595296276,97,63.28,118.33,62.04,4.12
374,hwange,0,ZW,1595296276,66,-18.37,26.5,47.62,2.51
375,durban,0,ZA,1595296276,76,-29.86,31.03,59.0,2.24
376,dasna,90,IN,1595296277,94,28.68,77.53,86.0,5.82
377,grand island,40,US,1595296100,69,40.92,-98.34,78.8,8.05
378,kiknur,48,RU,1595296277,98,57.3,47.2,56.53,4.68
379,alvarado,40,MX,1595296277,83,18.77,-95.77,84.99,3.36
380,nueve de julio,100,AR,1595296278,97,-35.44,-60.88,55.0,1.99
381,gold coast,75,AU,1595296278,48,-28.0,153.43,68.0,13.87
382,tuatapere,72,NZ,1595296036,75,-46.13,167.68,51.39,8.63
